,Experiment,Model,Metric/Class,Hyperparameters,Performance
34,specific,XGBClassifier,f1-score_GREEN,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.9365128976782513
35,specific,XGBClassifier,f1-score_RED,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.7987299267533101
36,specific,XGBClassifier,f1-score_YELLOW,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.6423348873348873
37,specific,GradientBoostingClassifier,precision_GREEN,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 3, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 25, ""subsample"": 0.7}",0.9289875484187575
38,specific,GradientBoostingClassifier,precision_RED,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 3, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 25, ""subsample"": 0.7}",0.8152937900306322
39,specific,GradientBoostingClassifier,precision_YELLOW,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 3, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 25, ""subsample"": 0.7}",0.6257189168573608
40,specific,GradientBoostingClassifier,recall_GREEN,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 3, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 25, ""subsample"": 0.7}",0.9335235920852358
41,specific,GradientBoostingClassifier,recall_RED,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 3, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 25, ""subsample"": 0.7}",0.8036666666666668
42,specific,GradientBoostingClassifier,recall_YELLOW,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 3, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 25, ""subsample"": 0.7}",0.606159420289855
43,specific,GradientBoostingClassifier,f1-score_GREEN,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 3, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 25, ""subsample"": 0.7}",0.9309675446769823
44,specific,GradientBoostingClassifier,f1-score_RED,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 3, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 25, ""subsample"": 0.7}",0.803168356191612
45,specific,GradientBoostingClassifier,f1-score_YELLOW,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 3, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 25, ""subsample"": 0.7}",0.6108789760963673
46,specific,LogisticRegression,precision_GREEN,"{""C"": 10000000.0, ""max_iter"": 60, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.1}",0.9062314397930837
47,specific,LogisticRegression,precision_RED,"{""C"": 10000000.0, ""max_iter"": 60, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.1}",0.8060773324644293
48,specific,LogisticRegression,precision_YELLOW,"{""C"": 10000000.0, ""max_iter"": 60, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.1}",0.6448081841432225
49,specific,LogisticRegression,recall_GREEN,"{""C"": 10000000.0, ""max_iter"": 60, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.1}",0.919558599695586
50,specific,LogisticRegression,recall_RED,"{""C"": 10000000.0, ""max_iter"": 60, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.1}",0.8193333333333334
51,specific,LogisticRegression,recall_YELLOW,"{""C"": 10000000.0, ""max_iter"": 60, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.1}",0.5710144927536231
52,specific,LogisticRegression,f1-score_GREEN,"{""C"": 10000000.0, ""max_iter"": 60, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.1}",0.9120601487335802
53,specific,LogisticRegression,f1-score_RED,"{""C"": 10000000.0, ""max_iter"": 60, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.1}",0.8081843569149129
54,specific,LogisticRegression,f1-score_YELLOW,"{""C"": 10000000.0, ""max_iter"": 60, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.1}",0.5933910745769173
55,specific,SVC,precision_GREEN,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.8963922857980936
56,specific,SVC,precision_RED,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.843095238095238
57,specific,SVC,precision_YELLOW,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.6720819601185125
58,specific,SVC,recall_GREEN,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.9279299847792999
59,specific,SVC,recall_RED,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.852
60,specific,SVC,recall_YELLOW,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.5717391304347825
61,specific,SVC,f1-score_GREEN,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.9113433346848673
62,specific,SVC,f1-score_RED,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.845299938157081
63,specific,SVC,f1-score_YELLOW,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.6099384825700616
64,specific,DecisionTreeClassifier,precision_GREEN,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.9368558994760037
65,specific,DecisionTreeClassifier,precision_RED,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.7722695374800639
66,specific,DecisionTreeClassifier,precision_YELLOW,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.5542495516179727
